major minor  #blocks  name

 179        0   15392768 mmcblk0
 179        1       3072 mmcblk0p1
 179        2       5120 mmcblk0p2
 179        3      10240 mmcblk0p3
 179        4      10240 mmcblk0p4
 179        5        512 mmcblk0p5
 179        6        512 mmcblk0p6
 179        7      16384 mmcblk0p7
 179        8      16384 mmcblk0p8
 179        9       8192 mmcblk0p9
 179       10      10240 mmcblk0p10
 179       11        512 mmcblk0p11
 179       12       2048 mmcblk0p12
 179       13       6144 mmcblk0p13
 179       14       8192 mmcblk0p14
 179       15       5120 mmcblk0p15
 179       16       5120 mmcblk0p16
 179       17       8192 mmcblk0p17
 179       18       8192 mmcblk0p18
 179       19       1024 mmcblk0p19
 179       20        128 mmcblk0p20
 179       21      32768 mmcblk0p21
 179       22       8192 mmcblk0p22
 179       23      20480 mmcblk0p23
 179       24     204800 mmcblk0p24
 179       25       1024 mmcblk0p25
 179       26      32768 mmcblk0p26
 179       27      40832 mmcblk0p27
 179       28    3145728 mmcblk0p28
 179       29     409600 mmcblk0p29
 179       30   11353600 mmcblk0p30
 179       31      16384 mmcblk0p31
 179       96       4096 mmcblk0rpmb
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
 179      128    3932160 mmcblk1
 179      129    3932128 mmcblk1p1
 253        0   11353600 dm-0

